; 4,0 ; 4,1 ; 4,2 ; 4,3 ; 4,4 ; 4,5 ; 4,6 ; 4,7 ; 4,8 ; 4,9 ; 5,0 ; 5,1 ; 5,2 ; 5,3 ; 5,4 ; 5,5 ; 5,6 ; 5,7 ; 5,8 ; 5,9 ; 6,0 ; 6,1 ; 6,2 ; 6,3 ; 6,4 ; 6,5 ; 6,6 ; 6,7 ; 6,8 ; 6,9 ; 7,0 ; 7,1 ; 7,2 ; 7,3 ; 7,4 ; 7,5 ; 7,6 ; 7,7 ; 7,8 ; 7,9 ; 8,0 ; 8,1 ; 8,2 ; 8,3 
 20,0 ;663;680;697;715;734;753;772;792;812;833;855;877;899;922;946;971;995;1021;1047;1074;1102;1130;1160;1189;1220;1251;1284;1317;1351;1385;1421;1458;1495;1534;1573;1614;1655;1698;1741;1786;1832;1879;1928;1978
 20,5 ;691;709;726;745;764;783;803;823;844;865;887;910;933;956;981;1005;1031;1057;1084;1111;1139;1168;1198;1228;1259;1291;1324;1357;1391;1427;1463;1500;1538;1577;1616;1657;1699;1742;1786;1832;1878;1926;1974;2024
 21,0 ;720;738;757;776;795;815;835;856;877;899;921;944;967;992;1016;1041;1067;1094;1121;1149;1178;1207;1237;1268;1299;1332;1365;1399;1433;1469;1506;1543;1581;1621;1661;1702;1745;1788;1833;1878;1925;1973;2022;2072
 21,5 ;751;769;788;808;827;847;868;889;911;933;956;980;1004;1028;1053;1079;1105;1132;1160;1188;1217;1247;1278;1309;1341;1373;1407;1441;1477;1513;1550;1588;1626;1666;1707;1749;1791;1835;1880;1926;1973;2021;2070;2121
 22,0 ;783;802;821;841;861;882;903;924;947;969;993;1016;1041;1066;1091;1118;1144;1172;1200;1229;1258;1289;1319;1351;1384;1417;1451;1486;1521;1558;1595;1633;1673;1713;1754;1796;1839;1883;1928;1975;2022;2071;2120;2171
 22,5 ;816;836;855;875;896;917;939;961;984;1007;1031;1055;1080;1105;1131;1158;1185;1213;1242;1271;1301;1331;1363;1395;1428;1461;1496;1531;1567;1604;1642;1681;1720;1761;1802;1845;1888;1933;1978;2025;2073;2121;2171;2223
 23,0 ;851;871;891;912;933;954;976;999;1022;1046;1070;1095;1120;1146;1172;1199;1227;1255;1285;1314;1345;1376;1408;1440;1473;1507;1542;1578;1615;1652;1690;1729;1769;1810;1852;1895;1939;1983;2029;2076;2124;2173;2224;2275
 23,5 ;887;907;928;949;971;993;1015;1038;1062;1086;1111;1136;1162;1188;1215;1242;1271;1299;1329;1359;1390;1421;1454;1487;1520;1555;1590;1626;1663;1701;1740;1779;1819;1861;1903;1946;1990;2035;2082;2129;2177;2227;2277;2329
 24,0 ;925;946;967;988;1010;1033;1056;1079;1103;1128;1153;1179;1205;1232;1259;1287;1316;1345;1375;1406;1437;1469;1501;1535;1569;1604;1640;1676;1713;1752;1791;1830;1871;1913;1955;1999;2043;2089;2135;2183;2232;2281;2332;2384
 24,5 ;964;986;1007;1029;1051;1074;1098;1122;1146;1171;1197;1223;1250;1277;1305;1333;1362;1392;1422;1454;1485;1518;1551;1585;1619;1655;1691;1728;1765;1804;1843;1883;1924;1966;2009;2053;2098;2144;2191;2238;2287;2337;2388;2440
